"exam_sn","review_sn","question_sn","question_timestamp","binary_res","finish_time","ans_time"
"25533718","97967614","7940","63","1","2024-01-02 09:29:18","9"
"25533952","97968472","7941","125","0","2024-01-02 09:49:32","14"
"25538657","98080875","7943","195","0","2024-01-02 15:49:07","17"
"25538696","98082651","7940","63","1","2024-01-02 15:50:59","8"
"25538710","98082950","7940","63","1","2024-01-02 15:51:46","4"
"25538776","98084330","8043","58","0","2024-01-02 15:55:43","4"
"25538781","98084239","7936","89","1","2024-01-02 15:56:04","9"
"25542365","98157283","7941","125","0","2024-01-03 08:01:37","19"
"25542382","98157929","8044","56","0","2024-01-03 08:02:37","2"
"25543084","98176222","7937","81","1","2024-01-03 08:34:42","17"
"25543148","98177578","7938","181","0","2024-01-03 08:39:17","14"
"25543151","98177578","7938","181","1","2024-01-03 08:39:28","14"
"25543155","98178712","7941","125","0","2024-01-03 08:39:48","17"
"25543158","98178712","7941","125","1","2024-01-03 08:39:58","17"
"25543632","98195089","7944","139","1","2024-01-03 09:18:06","9"
"25545160","98222552","8046","176","0","2024-01-03 10:43:55","34"
"25545165","98222552","8046","176","1","2024-01-03 10:44:07","34"
"25545191","98223663","8046","176","1","2024-01-03 10:46:39","3"
"25545199","98222124","8046","176","0","2024-01-03 10:47:30","11"
"25545218","98224509","8046","176","1","2024-01-03 10:48:43","3"
"25545219","98225427","7940","63","0","2024-01-03 10:48:44","6"
"25545248","98224754","8046","176","0","2024-01-03 10:50:24","1"
"25545428","98230757","7941","125","1","2024-01-03 10:58:49","5"
"25547281","98276551","8046","176","0","2024-01-03 16:48:39","29"
"25547284","98276551","8046","176","1","2024-01-03 16:49:00","29"
"25559042","98551776","7941","125","0","2024-01-05 08:03:40","41"
"25559051","98552433","8046","176","0","2024-01-05 08:04:12","13"
"25559071","98551939","8046","176","0","2024-01-05 08:05:06","6"
"25559128","98553959","8046","176","1","2024-01-05 08:08:00","19"
"25559877","98572239","8046","176","0","2024-01-05 08:40:32","19"
"25563460","98670227","8046","176","1","2024-01-05 13:24:01","41"
"25565833","98727980","8046","176","1","2024-01-05 16:39:46","4"
"25570640","98836654","8046","176","0","2024-01-07 10:35:03","35"
"25573028","98882625","8046","176","0","2024-01-07 19:52:49","25"
"25573029","98882625","8046","176","1","2024-01-07 19:53:04","25"
"25573067","98883715","7936","89","1","2024-01-07 20:00:49","37"
"25578048","99010478","7941","125","0","2024-01-08 13:46:37","173"
"25578383","99015767","7943","195","0","2024-01-08 14:06:03","468"
"25578676","99029791","7936","89","1","2024-01-08 14:48:08","9"
"25586806","99256519","8046","176","0","2024-01-09 14:28:24","21"
"25586850","99257848","8046","176","1","2024-01-09 14:30:49","20"
"25623481","99444510","8214","123","1","2024-01-10 09:09:12","6"
"25627401","99560637","8212","78","0","2024-01-11 00:08:38","95"
"25627417","99560763","8213","61","1","2024-01-11 00:30:19","115"
"25627445","99560859","8211","202","1","2024-01-11 01:04:46","7"
"25645843","99955367","7936","89","0","2024-01-13 15:09:21","27"
"25656955","100202569","1190","130","0","2024-01-15 15:50:21","252"
"25656967","100202316","1190","130","1","2024-01-15 15:51:09","32"
"25656972","100202837","1190","130","1","2024-01-15 15:51:50","9"
"25656976","100203079","1190","130","1","2024-01-15 15:52:16","7"
"25656977","100202964","1190","130","1","2024-01-15 15:52:17","23"
"25656978","100202944","1190","130","0","2024-01-15 15:52:17","42"
"25656985","100202944","1190","130","1","2024-01-15 15:52:50","42"
"25656988","100203103","1190","130","1","2024-01-15 15:53:06","9"
"25656989","100203134","1190","130","1","2024-01-15 15:53:07","9"
"25656993","100203159","1190","130","0","2024-01-15 15:53:22","59"
"25656997","100203276","1190","130","1","2024-01-15 15:53:35","44"
"25656999","100203300","1190","130","1","2024-01-15 15:53:49","21"
"25657000","100203129","1190","130","1","2024-01-15 15:53:53","24"
"25657001","100203244","1190","130","1","2024-01-15 15:53:58","56"
"25657008","100202569","1190","130","0","2024-01-15 15:54:20","252"
"25657012","100203540","1190","130","1","2024-01-15 15:54:32","198"
"25657032","100204293","1182","32","1","2024-01-15 15:56:50","210"
"25657039","100204297","1182","32","1","2024-01-15 15:56:55","318"
"25657040","100204291","1182","32","1","2024-01-15 15:56:56","234"
"25657041","100204287","1182","32","1","2024-01-15 15:56:59","229"
"25657042","100204285","1182","32","0","2024-01-15 15:56:59","359"
"25657045","100204289","1182","32","1","2024-01-15 15:57:01","173"
"25657046","100204302","1182","32","1","2024-01-15 15:57:02","379"
"25657047","100204305","1182","32","1","2024-01-15 15:57:02","335"
"25657048","100204300","1182","32","1","2024-01-15 15:57:05","249"
"25657049","100204316","1182","32","1","2024-01-15 15:57:06","325"
"25657050","100204290","1182","32","1","2024-01-15 15:57:08","532"
"25657051","100204325","1182","32","1","2024-01-15 15:57:13","251"
"25657052","100204319","1182","32","1","2024-01-15 15:57:14","244"
"25657056","100204310","1182","32","1","2024-01-15 15:57:22","344"
"25657057","100204314","1182","32","1","2024-01-15 15:57:23","396"
"25657059","100204313","1182","32","1","2024-01-15 15:57:28","253"
"25657061","100204285","1182","32","1","2024-01-15 15:57:38","359"
"25657062","100203540","1191","309","1","2024-01-15 15:57:42","198"
"25657063","100204289","1183","72","1","2024-01-15 15:57:45","173"
"25657064","100204287","1183","72","1","2024-01-15 15:57:47","229"
"25657065","100204316","1183","72","1","2024-01-15 15:58:05","325"
"25657066","100204376","1182","32","1","2024-01-15 15:58:06","336"
"25657068","100204313","1183","72","1","2024-01-15 15:58:20","253"
"25657070","100204293","1183","72","1","2024-01-15 15:58:24","210"
"25657072","100204291","1183","72","1","2024-01-15 15:58:30","234"
"25657073","100204300","1183","72","1","2024-01-15 15:58:31","249"
"25657074","100204305","1183","72","1","2024-01-15 15:58:48","335"
"25657075","100204289","1184","139","1","2024-01-15 15:58:58","173"
"25657077","100204287","1184","139","1","2024-01-15 15:59:04","229"
"25657078","100204297","1183","72","1","2024-01-15 15:59:05","318"
"25657080","100204285","1183","72","1","2024-01-15 15:59:08","359"
"25657081","100204319","1183","72","1","2024-01-15 15:59:08","244"
"25657082","100204290","1183","72","1","2024-01-15 15:59:10","532"
"25657084","100204325","1183","72","1","2024-01-15 15:59:20","251"
"25657088","100204310","1183","72","1","2024-01-15 15:59:31","344"
"25657089","100204293","1184","139","1","2024-01-15 15:59:36","210"
"25657090","100204289","1185","171","1","2024-01-15 15:59:38","173"
"25657093","100204291","1184","139","1","2024-01-15 15:59:48","234"
"25657094","100204316","1183","72","1","2024-01-15 15:59:49","325"
"25657095","100204506","1182","32","1","2024-01-15 15:59:49","192"
"25657096","100204300","1184","139","1","2024-01-15 16:00:00","249"
"25657097","100204314","1183","72","1","2024-01-15 16:00:09","396"
"25657098","100204293","1185","171","1","2024-01-15 16:00:16","210"
"25657099","100204319","1184","139","1","2024-01-15 16:00:23","244"
"25657100","100204313","1184","139","1","2024-01-15 16:00:26","253"
"25657102","100204376","1183","72","1","2024-01-15 16:00:33","336"
"25657103","100204325","1184","139","1","2024-01-15 16:00:38","251"
"25657105","100204287","1185","171","1","2024-01-15 16:00:40","229"
"25657106","100204291","1185","171","1","2024-01-15 16:00:42","234"
"25657107","100204506","1183","72","1","2024-01-15 16:00:43","192"
"25657108","100204302","1183","72","1","2024-01-15 16:00:45","379"
"25657111","100204300","1185","171","1","2024-01-15 16:01:01","249"
"25657115","100204290","1183","72","1","2024-01-15 16:01:11","532"
"25657117","100204319","1185","171","1","2024-01-15 16:01:13","244"
"25657118","100204325","1185","171","1","2024-01-15 16:01:17","251"
"25657119","100204297","1184","139","1","2024-01-15 16:01:18","318"
"25657120","100204313","1185","171","1","2024-01-15 16:01:19","253"
"25657125","100204305","1184","139","1","2024-01-15 16:01:30","335"
"25657126","100204310","1184","139","1","2024-01-15 16:01:35","344"
"25657127","100204316","1184","139","1","2024-01-15 16:01:41","325"
"25657128","100204285","1184","139","1","2024-01-15 16:01:53","359"
"25657129","100204506","1184","139","1","2024-01-15 16:01:57","192"
"25657130","100204297","1185","171","1","2024-01-15 16:02:07","318"
"25657132","100204302","1184","139","1","2024-01-15 16:02:18","379"
"25657134","100204316","1185","171","1","2024-01-15 16:02:27","325"
"25657135","100204376","1184","139","1","2024-01-15 16:02:29","336"
"25657136","100204305","1185","171","1","2024-01-15 16:02:30","335"
"25657138","100204314","1184","139","1","2024-01-15 16:02:48","396"
"25657139","100204285","1185","171","0","2024-01-15 16:02:53","359"
"25657140","100204310","1185","171","1","2024-01-15 16:02:54","344"
"25657141","100204506","1185","171","1","2024-01-15 16:02:54","192"
"25657145","100204302","1185","171","1","2024-01-15 16:03:13","379"
"25657147","100204376","1185","171","1","2024-01-15 16:03:37","336"
"25657149","100204314","1185","171","1","2024-01-15 16:03:46","396"
"25657150","100204290","1184","139","1","2024-01-15 16:04:35","532"
"25657152","100204290","1185","171","1","2024-01-15 16:05:37","532"
"25657663","100217141","1182","32","1","2024-01-15 17:25:35","176"
"25657666","100217141","1183","72","1","2024-01-15 17:26:20","176"
"25657674","100217141","1184","139","1","2024-01-15 17:27:39","176"
"25657678","100217141","1185","171","1","2024-01-15 17:28:29","176"
"25657954","100222218","1186","39","1","2024-01-15 18:38:11","487"
"25657956","100222508","1182","32","1","2024-01-15 18:38:30","156"
"25657963","100222508","1183","72","1","2024-01-15 18:39:11","156"
"25657969","100222508","1184","139","1","2024-01-15 18:40:14","156"
"25657973","100222508","1185","171","1","2024-01-15 18:40:58","156"
"25657983","100222218","1187","95","1","2024-01-15 18:43:04","487"
"25657990","100222938","1182","32","1","2024-01-15 18:44:00","4"
"25657992","100222218","1188","164","1","2024-01-15 18:44:20","487"
"25657997","100222218","1189","211","1","2024-01-15 18:46:12","487"
"25658045","100223030","1186","39","1","2024-01-15 18:56:57","8"
"25658396","100231621","1198","70","1","2024-01-15 19:58:18","354"
"25658408","100231621","1198","70","1","2024-01-15 20:00:16","354"
"25658416","100231621","1200","79","1","2024-01-15 20:01:07","354"
"25658433","100231621","1201","165","1","2024-01-15 20:03:55","354"
"25658976","100243562","1186","39","1","2024-01-15 21:03:56","5"
"25659008","100243970","1186","39","1","2024-01-15 21:06:54","375"
"25659028","100243970","1187","95","1","2024-01-15 21:08:34","375"
"25659065","100243970","1188","164","1","2024-01-15 21:12:13","375"
"25659073","100243970","1189","211","1","2024-01-15 21:13:07","375"
"25659143","100245704","1198","70","1","2024-01-15 21:19:31","227"
"25659146","100245704","1200","79","1","2024-01-15 21:20:08","227"
"25659167","100245704","1201","165","1","2024-01-15 21:23:10","227"
"25659973","100259801","1186","39","1","2024-01-16 06:18:39","480"
"25659975","100259801","1186","39","1","2024-01-16 06:20:31","480"
"25659977","100259801","1187","95","1","2024-01-16 06:23:44","480"
"25659979","100259801","1188","164","0","2024-01-16 06:25:12","480"
"25659980","100259801","1188","164","1","2024-01-16 06:25:35","480"
"25659981","100259801","1189","211","1","2024-01-16 06:26:31","480"
"25659986","100259919","1198","70","1","2024-01-16 06:39:50","71"
"25659987","100259919","1200","79","1","2024-01-16 06:40:46","71"
"25660054","100261110","1182","32","1","2024-01-16 07:43:57","170"
"25660057","100261110","1183","72","1","2024-01-16 07:44:46","170"
"25660059","100261191","1182","32","1","2024-01-16 07:46:04","103"
"25660060","100261110","1184","139","1","2024-01-16 07:46:05","170"
"25660061","100261110","1185","171","1","2024-01-16 07:46:45","170"
"25660063","100261191","1183","72","1","2024-01-16 07:47:44","103"
"25660064","100261389","1186","39","1","2024-01-16 07:48:55","632"
"25660066","100261465","1170","56","1","2024-01-16 07:49:48","256"
"25660067","100261389","1187","95","1","2024-01-16 07:50:00","632"
"25660068","100261390","1170","56","1","2024-01-16 07:50:23","987"
"25660070","100261465","1171","93","1","2024-01-16 07:51:38","256"
"25660071","100261465","1171","93","1","2024-01-16 07:52:09","256"
"25660072","100261465","1171","93","1","2024-01-16 07:52:18","256"
"25660073","100261465","1172","107","1","2024-01-16 07:52:38","256"
"25660075","100261389","1187","95","1","2024-01-16 07:53:12","632"
"25660078","100261465","1173","121","1","2024-01-16 07:53:51","256"
"25660095","100261389","1188","164","1","2024-01-16 07:57:51","632"
"25660103","100261389","1189","211","1","2024-01-16 07:59:22","632"
"25660108","100262579","1186","39","1","2024-01-16 07:59:47","237"
"25660121","100262750","1182","32","1","2024-01-16 08:00:53","76"
"25660122","100261390","1171","93","1","2024-01-16 08:00:57","987"
"25660125","100262579","1187","95","1","2024-01-16 08:01:33","237"
"25660128","100262831","1198","70","1","2024-01-16 08:01:56","299"
"25660129","100262750","1183","72","1","2024-01-16 08:01:58","76"
"25660138","100262579","1188","164","1","2024-01-16 08:02:48","237"
"25660146","100261390","1172","107","1","2024-01-16 08:03:26","987"
"25660148","100262579","1189","211","1","2024-01-16 08:03:39","237"
"25660156","100262831","1200","79","1","2024-01-16 08:04:10","299"
"25660159","100261390","1173","121","1","2024-01-16 08:05:30","987"
"25660168","100262831","1201","165","1","2024-01-16 08:06:49","299"
"25660170","100264001","1184","139","1","2024-01-16 08:07:24","52"
"25660174","100264001","1185","171","1","2024-01-16 08:07:59","52"
"25660184","100264328","1170","56","1","2024-01-16 08:10:01","387"
"25660186","100264206","1186","39","1","2024-01-16 08:10:01","372"
"25660199","100264977","1186","39","1","2024-01-16 08:11:56","4"
"25660205","100264206","1187","95","1","2024-01-16 08:12:08","372"
"25660207","100264328","1171","93","1","2024-01-16 08:12:12","387"
"25660215","100265178","1186","39","1","2024-01-16 08:12:49","533"
"25660219","100264449","1170","56","1","2024-01-16 08:12:58","307"
"25660241","100264206","1188","164","1","2024-01-16 08:14:08","372"
"25660264","100265178","1186","39","1","2024-01-16 08:15:01","533"
"25660265","100264328","1172","107","1","2024-01-16 08:15:04","387"
"25660267","100265506","1186","39","1","2024-01-16 08:15:05","413"
"25660300","100264206","1189","211","1","2024-01-16 08:16:11","372"
"25660303","100264328","1173","121","1","2024-01-16 08:16:18","387"
"25660311","100265178","1187","95","1","2024-01-16 08:16:45","533"
"25660317","100265506","1187","95","1","2024-01-16 08:16:55","413"
"25660322","100264449","1171","93","1","2024-01-16 08:17:23","307"
"25660328","100264449","1172","107","1","2024-01-16 08:17:41","307"
"25660335","100264449","1173","121","1","2024-01-16 08:17:59","307"
"25660358","100265506","1188","164","1","2024-01-16 08:19:43","413"
"25660359","100265178","1188","164","1","2024-01-16 08:19:43","533"
"25660366","100265178","1188","164","1","2024-01-16 08:20:10","533"
"25660395","100265178","1189","211","1","2024-01-16 08:21:37","533"
"25660404","100265506","1189","211","1","2024-01-16 08:21:55","413"
"25660412","100267689","1186","39","1","2024-01-16 08:22:23","374"
"25660474","100269054","1198","70","1","2024-01-16 08:26:10","124"
"25660480","100269072","1170","56","1","2024-01-16 08:26:17","320"
"25660484","100269054","1200","79","0","2024-01-16 08:26:25","124"
"25660490","100269239","1170","56","1","2024-01-16 08:26:29","522"
"25660497","100267689","1187","95","1","2024-01-16 08:26:51","374"
"25660506","100268920","1198","70","1","2024-01-16 08:27:31","206"
"25660518","100269054","1201","165","0","2024-01-16 08:28:04","124"
