"user_sn","prac_sn","date","during_time","score_rate","binary_res","items_ans_time","indicator_name","subject_name"
"20034","49606796","2024-01-02 09:16:53","6","0","0@XX@0@XX@","2919@XX@2992@XX@","彈簧在生活中的應用","自然108"
"20034","49606810","2024-01-02 09:17:07","6","100","1@XX@1@XX@","2962@XX@2966@XX@","彈簧在生活中的應用","自然108"
"20034","49607480","2024-01-02 09:32:11","18","100","1@XX@1@XX@","6052@XX@11311@XX@","測量力的工具和方法","自然108"
"11303","49629011","2024-01-02 15:38:41","60","100","1@XX@1@XX@","49857@XX@10225@XX@","測量力的工具和方法","自然108"
"11303","49629061","2024-01-02 15:40:07","9","0","0@XX@0@XX@","4681@XX@4496@XX@","力的測量記錄與判讀","自然108"
"20034","49629338","2024-01-02 15:43:57","22","0","0@XX@0@XX@","16469@XX@5282@XX@","力的測量記錄與判讀","自然108"
"46696","49629349","2024-01-02 15:44:14","10","100","1@XX@1@XX@","4282@XX@5330@XX@","彈簧在生活中的應用","自然108"
"46696","49629363","2024-01-02 15:44:32","4","50","0@XX@1@XX@","1963@XX@1927@XX@","物體速度越快動能越大","自然108"
"46696","49629775","2024-01-02 15:49:52","8","100","1@XX@1@XX@","4814@XX@2682@XX@","測量力的工具和方法","自然108"
"46696","49629792","2024-01-02 15:50:10","5","0","0@XX@0@XX@","2300@XX@3403@XX@","力的測量記錄與判讀","自然108"
"11303","49629836","2024-01-02 15:50:50","8","100","1@XX@1@XX@","5568@XX@1949@XX@","時間與距離可描述物體的速度和變化","自然108"
"42415","49630038","2024-01-02 15:53:47","23","100","1@XX@1@XX@","8921@XX@14419@XX@","測量力的工具和方法","自然108"
"307570","49645286","2024-01-03 07:58:00","223","50","0@XX@1@XX@","24990@XX@198470@XX@","物體速度越快動能越大","自然108"
"307570","49645309","2024-01-03 08:01:51","9","100","1@XX@1@XX@","4730@XX@4302@XX@","物體速度越快動能越大","自然108"
"307570","49645430","2024-01-03 08:02:12","83","100","1@XX@1@XX@","7094@XX@75987@XX@","彈簧在生活中的應用","自然108"
"11303","49645560","2024-01-03 08:05:02","21","50","0@XX@1@XX@","17681@XX@3262@XX@","力的平衡與判斷","自然108"
