"user_sn","review_sn","indicator_name","subject_name","video_name","video_len","start_timestamp","start_time","end_timestamp","end_time","finish_rate"
"221236","97932045","字音[三]/本音4","國語文108","字音[三]/本音4","82.367","0.00","2024-01-02 07:38:34","82.37","2024-01-02 07:40:03","100"
"221236","97932104","字形[三]/同音字2","國語文108","字形[三]/同音字2","147.136","0.00","2024-01-02 07:40:22","19.63","2024-01-02 07:40:46","13"
"20034","97967614","測量力的工具和方法","自然108","INc-Ⅲ-1-01","225.726","0.00","2024-01-02 09:27:58","225.69","2024-01-02 09:32:01","100"
"20034","97968472","力的測量記錄與判讀","自然108","INc-Ⅲ-1-02","463.664","0.00","2024-01-02 09:32:45","463.63","2024-01-02 10:06:39","100"
"307570","97978630","物體速度越快動能越大","自然108","INa-Ⅲ-7-01","374.080","151.06","2024-01-02 10:07:24","307.30","2024-01-02 12:46:14","82"
"46696","98080874","物體速度越快動能越大","自然108","INa-Ⅲ-7-01","374.080","225.18","2024-01-02 15:45:24","374.07","2024-01-02 15:48:00","100"
"46696","98080875","彈簧在生活中的應用","自然108","INc-Ⅲ-1-03","388.864","0.00","2024-01-02 15:45:24","225.86","2024-01-02 15:49:38","58"
"307570","98080961","力的測量記錄與判讀","自然108","INc-Ⅲ-1-02","463.664","7.93","2024-01-02 15:45:37","112.53","2024-01-02 15:53:13","24"
"42415","98082651","測量力的工具和方法","自然108","INc-Ⅲ-1-01","225.726","0.00","2024-01-02 15:49:44","225.69","2024-01-02 15:53:46","100"
"46696","98082659","彈簧在生活中的應用","自然108","INc-Ⅲ-1-03","388.864","225.86","2024-01-02 15:49:44","388.84","2024-01-02 15:52:31","100"
"46696","98082950","測量力的工具和方法","自然108","INc-Ⅲ-1-01","225.726","0.00","2024-01-02 15:50:36","183.19","2024-01-02 15:55:13","81"
"11303","98083028","時間與距離可描述物體的速度和變化","自然108","INc-Ⅲ-6-01","159.360","74.87","2024-01-02 15:50:50","159.34","2024-01-02 15:52:19","100"
"46696","98083885","力的測量記錄與判讀","自然108","INc-Ⅲ-1-02","463.664","0.00","2024-01-02 15:53:10","38.76","2024-01-02 15:53:51","8"
"42415","98084239","物體速度越快動能越大","自然108","INa-Ⅲ-7-01","374.080","0.00","2024-01-02 15:54:23","169.99","2024-01-02 15:57:25","45"
"11303","98084330","力的大小可由物體的改變測量得知","自然108","INc-Ⅲ-5-02","193.152","0.00","2024-01-02 15:54:38","143.60","2024-01-02 15:57:17","74"
"46696","98084551","測量力的工具和方法","自然108","INc-Ⅲ-1-01","225.726","183.19","2024-01-02 15:55:23","225.69","2024-01-02 15:56:10","100"
"46696","98084791","力的測量記錄與判讀","自然108","INc-Ⅲ-1-02","463.664","38.76","2024-01-02 15:56:18","38.76","2024-01-02 15:56:56","8"
