"user_sn","sn","game_grade","game_semester","unit_id","answer_problem_num","is_correct","game_time","last_modified","unit_name"
"2697","6636","4","2","5","142052012_011","1","80582","1715831301569","體積：立方公分"
"209884","6637","1","1","1","111011003_027","1","55997","1715831297720","10以內的數"
"6802","6638","1","1","6","111062002_029","0","2851","1715831290941","認識形狀"
"75997","6639","3","1","4","131042022_037","1","6676","1715831285896","認識圓和角"
"183190","6640","1","1","6","111062001_010","1","12927","1715831285195","認識形狀"
"270670","6641","1","1","1","111011019_034","0","9194","1715831284760","10以內的數"
"4561","6642","3","1","3","131032037_025","1","14279","1715831283926","四位數的加減"
"175582","6643","1","1","2","111021003_026","1","24335","1715831282698","比較物品的長短"
"6802","6644","1","1","6","111062003_006","1","25862","1715831279301","認識形狀"
"75997","6645","3","1","4","131042001_008","1","19112","1715831278168","認識圓和角"
"270670","6646","1","1","1","111011016_008","1","5746","1715831274799","10以內的數"
"183190","6647","1","1","6","111062001_021","1","14418","1715831271334","認識形狀"
"4561","6648","3","1","3","131033024_024","0","50955","1715831268718","四位數的加減"
"270670","6649","1","1","1","111012005_026","1","17180","1715831268384","10以內的數"
"17422","6650","4","2","1","142013010_021","1","102013","1715831262506","認識大數"
"189454","6651","1","1","6","111061002_031","0","75742","1715831259216","認識形狀"
"175582","6652","1","1","2","111021003_031","0","314","1715831257680","比較物品的長短"
"75997","6653","3","1","4","131041004_037","1","44590","1715831257273","認識圓和角"
"175582","6654","1","1","2","111022001_007","1","322","1715831256842","比較物品的長短"
"175582","6655","1","1","2","111021002_005","0","356","1715831256064","比較物品的長短"
"175582","6656","1","1","2","111022002_025","0","378","1715831255210","比較物品的長短"
"175582","6657","1","1","2","111023001_006","0","564","1715831254148","比較物品的長短"
"175582","6658","1","1","2","111021002_004","0","471","1715831252559","比較物品的長短"
"175582","6659","1","1","2","111022002_012","0","386","1715831251643","比較物品的長短"
"6802","6660","1","1","6","111061003_006","1","26493","1715831251556","認識形狀"
"175582","6661","1","1","2","111021001_019","1","308","1715831250812","比較物品的長短"
"270670","6662","1","1","1","111012004_028","0","5590","1715831250111","10以內的數"
"175582","6663","1","1","2","111021001_003","0","335","1715831250060","比較物品的長短"
"175582","6664","1","1","2","111021003_027","0","359","1715831249207","比較物品的長短"
"175582","6665","1","1","2","111021002_001","1","392","1715831248263","比較物品的長短"
"175582","6666","1","1","2","111023001_026","0","590","1715831247118","比較物品的長短"
"175582","6667","1","1","2","111021001_023","0","806","1715831245744","比較物品的長短"
"183190","6668","1","1","6","111061003_023","1","16505","1715831245275","認識形狀"
"175582","6669","1","1","2","111021001_040","0","487","1715831243884","比較物品的長短"
"270670","6670","1","1","1","111011009_024","1","21546","1715831243451","10以內的數"
"175582","6671","1","1","2","111022002_010","0","605","1715831242728","比較物品的長短"
"175582","6672","1","1","2","111021001_018","0","411","1715831241411","比較物品的長短"
"106132","6673","1","1","5","111052001_010","0","19152","1715831240661","10以內的加減"
"175582","6674","1","1","2","111021001_040","0","342","1715831240519","比較物品的長短"
"209884","6675","1","1","1","111012005_014","0","19824","1715831240448","10以內的數"
"175582","6676","1","1","2","111021002_004","0","361","1715831239757","比較物品的長短"
"175582","6677","1","1","2","111021002_013","1","290","1715831238976","比較物品的長短"
"175582","6678","1","1","2","111022001_038","0","376","1715831238264","比較物品的長短"
"175582","6679","1","1","2","111022002_034","1","333","1715831237479","比較物品的長短"
"175582","6680","1","1","2","111021002_014","1","325","1715831236655","比較物品的長短"
"175582","6681","1","1","2","111023001_020","0","354","1715831235832","比較物品的長短"
"175582","6682","1","1","2","111021001_030","1","378","1715831234904","比較物品的長短"
"175582","6683","1","1","2","111021002_029","0","331","1715831234072","比較物品的長短"
"175582","6684","1","1","2","111021002_009","0","419","1715831233263","比較物品的長短"
"175582","6685","1","1","2","111022002_033","0","571","1715831232288","比較物品的長短"
"175582","6686","1","1","2","111021003_027","0","56795","1715831230776","比較物品的長短"
"42229","6687","2","2","1","122012014_040","1","25744","1715831230729","1000以內的數"
"82762","6688","1","1","1","111011001_018","1","18234","1715831227856","10以內的數"
"183190","6689","1","1","6","111062004_039","1","11099","1715831227411","認識形狀"
"6802","6690","1","1","6","111062003_002","0","12555","1715831223517","認識形狀"
"270670","6691","1","1","1","111011016_008","1","6624","1715831221136","10以內的數"
"106132","6692","1","1","5","111052041_004","0","13492","1715831220612","10以內的加減"
"2697","6693","4","2","5","142052023_037","1","30642","1715831219485","體積：立方公分"
"209884","6694","1","1","1","111011020_034","1","7698","1715831219104","10以內的數"
"4561","6695","3","1","3","131032033_026","1","3022","1715831216830","四位數的加減"
"183190","6696","1","1","6","111061003_034","1","5856","1715831214467","認識形狀"
"270670","6697","1","1","1","111011003_005","1","5394","1715831213551","10以內的數"
"4561","6698","3","1","3","131032047_023","1","12862","1715831212804","四位數的加減"
"75997","6699","3","1","4","131042010_030","1","4804","1715831211382","認識圓和角"
"209884","6700","1","1","1","111011019_032","1","12880","1715831210304","10以內的數"
"6802","6701","1","1","6","111062005_035","1","26055","1715831209764","認識形狀"
"82762","6702","1","1","1","111011002_038","1","6640","1715831207978","10以內的數"
"183190","6703","1","1","6","111061003_028","1","6231","1715831207771","認識形狀"
"270670","6704","1","1","1","111011010_009","1","5729","1715831207480","10以內的數"
"106132","6705","1","1","5","111053007_018","1","7049","1715831205612","10以內的加減"
"75997","6706","3","1","4","131042016_029","1","2081","1715831205113","認識圓和角"
"75997","6707","3","1","4","131042012_016","1","3533","1715831202240","認識圓和角"
"270670","6708","1","1","1","111011006_017","1","6357","1715831200873","10以內的數"
