"user_sn","organization_id","grade","class","seat","chinese_score","math_score","english_score"
"2697","973","5","2","12","80","52","86"
"4381","3740","5","7","18","70","52","57"
"4561","973","5","2","16","77","56","100"
"6802","973","5","2","15","93","60","49"
"6828","3740","5","7","27","83","52","89"
"8634","1808","5","3","5","37","24","63"
"11303","1808","5","3","3","47","20","66"
"11312","2486","5","1","3","97","72","97"
"13328","1808","5","3","15","70","44","94"
"14314","3740","5","7","1","77","64","97"
"14503","338","5","3","21","53","20","89"
"15995","338","5","3","20","80","60","94"
"17422","973","5","2","13","87","60","97"
"20034","1808","5","3","1","70","60","83"
"23061","3740","5","7","13","37","36","49"
"23250","1808","5","3","14","87","36","97"
"23415","3740","5","7","19","23","24","29"
"30835","3740","5","7","2","73","68","97"
"32737","338","5","3","27","80","88","100"
"38371","2486","5","1","13","37","24","17"
"38614","338","5","3","24","73","40","97"
"42229","973","5","2","8","67","44","43"
"42415","1808","5","3","17","77","24","77"
"46696","1808","5","3","8","67","60","74"
"49363","338","5","3","22","87","28","89"
"50836","2486","5","1","4","80","68","94"
"54952","338","5","3","14","57","44","97"
"62947","1808","5","3","16","80","52","94"
"65038","338","5","3","8","80","76","80"
"75997","973","5","2","10","83","52","86"
"79642","3740","5","7","24","50","32","43"
"80380","973","5","2","4","40","32","29"
"82762","973","5","2","9","63","24","69"
"87634","3740","5","7","17","97","76","97"
"104242","2486","5","1","14","90","56","89"
"106042","338","5","3","25","87","76","97"
"106132","973","5","2","11","30","44","34"
"106735","1808","5","3","19","37","24","40"
"108139","1808","5","3","12","70","44","97"
"108343","2486","5","1","10","90","64","100"
"108886","3740","5","7","11","60","44","71"
"112627","338","5","3","9","73","40","94"
"122299","1808","5","3","10","43","24","37"
"122416","338","5","3","12","50","28","31"
"128878","2486","5","1","6","73","48","94"
"128932","2486","5","1","2","37","44","49"
"143197","2486","5","1","12","73","52","94"
"143323","3740","5","7","6","73","60","74"
"149800","3740","5","7","26","83","48","97"
"162052","338","5","3","7","77","60","100"
"163096","3740","5","7","22","87","40","100"
"169813","3740","5","7","3","83","44","77"
"174793","3740","5","7","5","60","56","83"
"175582","973","5","2","1","67","16","34"
"183190","973","5","2","5","63","48","66"
"189454","973","5","2","14","53","36","83"
"195388","3740","5","7","9","67","52","94"
"200920","338","5","3","11","30","28","40"
"201286","338","5","3","3","73","60","89"
"203770","338","5","3","23","87","48","97"
"209884","973","5","2","6","70","48","66"
"212767","1808","5","3","7","43","36","63"
"216079","3740","5","7","15","63","36","83"
"216784","3740","5","7","10","40","24","23"
"221236","1808","5","3","13","80","40","89"
"223594","338","5","3","2","60","44","71"
"224032","3740","5","7","25","83","40","66"
"225274","3740","5","7","8","47","24","37"
"232372","2486","5","1","5","53","28","54"
"243283","338","5","3","4","90","64","100"
"246112","338","5","3","13","63","64","74"
"247933","3740","5","7","16","73","44","71"
"250399","1808","5","3","18","60","36","80"
"255091","338","5","3","5","70","52","91"
"260608","3740","5","7","21","80","44","80"
"260818","338","5","3","19","80","52","74"
"269746","338","5","3","17","97","36","100"
"270670","973","5","2","7","63","44","54"
"272512","3740","5","7","14","67","40","66"
"272527","1808","5","3","6","77","64","63"
"278962","2486","5","1","11","73","56","97"
"283450","3740","5","7","4","63","56","97"
"286321","1808","5","3","4","57","48","66"
"286903","2486","5","1","9","80","48","71"
"288079","338","5","3","15","90","44","97"
"296062","3740","5","7","20","90","44","40"
"304753","3740","5","7","23","80","44","77"
"307570","1808","5","3","11","67","56","63"
"311086","2486","5","1","1","67","44","37"
"311152","2486","5","1","8","70","40","23"
"312031","973","5","2","2","80","68","97"
"313378","2486","5","1","7","37","36","34"
"313897","338","5","3","10","73","64","89"
"314389","338","5","3","1","87","68","97"
"316786","3740","5","7","12","77","60","91"
